,count,mean,std,min,25%,50%,75%,max
year,351.0,2017.1823,4.8745,1991.0,2016.0,2018.0,2020.0,2021.0
china,351.0,0.0228,0.1495,0.0,0.0,0.0,0.0,1.0
bndgrn,351.0,0.0037,1.9203,-5.4583,-1.0797,0.057,1.3175,4.2804
x1l,33.0,0.6614,2.0483,-4.1997,-0.165,1.0773,2.1715,3.0793
x2l,351.0,0.0458,1.9435,-5.4583,-1.0797,0.0712,1.3979,4.4526
envtax,268.0,1.9345,0.971,0.0174,1.2355,2.0312,2.5353,4.4867
gdpg,263.0,0.9733,5.2411,-56.3082,0.7965,1.9695,3.0355,9.7785
bigtech,186.0,11.5802,46.0125,0.01,0.01,0.01,0.21,368.47
ngain,202.0,63.6172,9.7134,36.424,57.1349,67.9031,71.0049,77.8254
rating,335.0,3.6776,0.5665,1.0,3.0,4.0,4.0,4.0
riskeqt,336.0,0.0634,0.0166,0.0424,0.052,0.0596,0.069,0.1634
riskctr,336.0,0.0151,0.0141,0.0038,0.0084,0.01,0.0173,0.1187
dum9,351.0,0.3333,0.4721,0.0,0.0,0.0,1.0,1.0
dum12,351.0,0.6125,0.4879,0.0,0.0,1.0,1.0,1.0
fie,262.0,0.7936,0.1073,0.4723,0.7277,0.8267,0.8735,0.9566
cbmndsq,306.0,26.2255,16.1478,0.0,16.0,25.0,36.0,64.0
cbmnd,306.0,4.8137,1.7503,0.0,4.0,5.0,6.0,8.0
cbenfsq,306.0,30.0163,13.4346,0.0,36.0,36.0,36.0,81.0
cbenf,306.0,5.1732,1.8069,0.0,6.0,6.0,6.0,9.0
cbsyssq,306.0,2.0425,3.2272,0.0,0.0,1.0,4.0,25.0
cbsys,306.0,0.9706,1.0507,0.0,0.0,1.0,2.0,5.0
wui,301.0,0.263,0.1969,0.0,0.1273,0.2227,0.3495,1.3427
gprlog,338.0,4.9912,0.3312,3.8174,4.8003,5.0556,5.2586,5.5558
infl,310.0,2.3063,4.3041,-28.62,0.95,1.605,2.3975,32.3
enrgoil,302.0,38.453,12.636,12.758,32.111,37.4545,43.6353,86.914
prodstr,322.0,0.0,1.0,-2.3654,-0.7536,0.0398,0.5466,3.007
hierarchy,253.0,2.285,0.4869,1.49,1.84,2.27,2.65,3.49
openness,225.0,49.038,2.9021,41.53,48.01,49.34,50.07,54.69
purity,293.0,0.1848,0.1078,-0.0831,0.1148,0.1696,0.255,0.4378
