individual,in_sample
Bangladesh,False
Costa Rica,False
Czech Rep.,False
Egypt,False
Estonia,False
Fiji,False
Georgia,False
Hungary,False
Iceland,False
Israel,False
Lithuania,False
Marshall Islands,False
Morocco,False
Namibia,False
Nigeria,False
Pakistan,False
Romania,False
Serbia,False
Seychelles,False
Slovak Rep.,False
Slovenia,False
Ukraine,False
Vietnam,False
Argentina,True
Australia,True
Austria,True
Belgium,True
Bermuda,True
Brazil,True
British Virgin Islands,True
Canada,True
Cayman Islands,True
Chile,True
China,True
Colombia,True
Denmark,True
Finland,True
France,True
Germany,True
Greece,True
Guernsey,True
Hong Kong,True
India,True
Indonesia,True
Ireland,True
Italy,True
Japan,True
Jersey,True
"Korea, Rep.",True
Latvia,True
Liechtenstein,True
Luxembourg,True
Macao,True
Malaysia,True
Mauritius,True
Mexico,True
Netherlands,True
New Zealand,True
Norway,True
Panama,True
Peru,True
Philippines,True
Poland,True
Portugal,True
Russia,True
Singapore,True
South Africa,True
Spain,True
Sweden,True
Switzerland,True
Taiwan,True
Thailand,True
Turkey,True
United Arab Emirates,True
United Kingdom,True
United States,True
