variable,N,mean,sd,min,p25,p50,p75,max,skewness,kurtosis
bndgrn,206,0.1088,1.8529,-4.9141,-0.9271,0.2203,1.3881,3.7233,-0.2996,-0.2816
cbmnd,206,4.733,1.7729,0.0,4.0,4.0,6.0,8.0,-0.4028,0.1262
cbenf,206,5.1262,1.8329,0.0,6.0,6.0,6.0,6.0,-1.9306,2.3703
cbsys,206,1.0291,0.9971,0.0,0.0,1.0,2.0,3.0,0.4152,-1.0902
infl,206,2.3127,4.9042,-28.62,0.96,1.65,2.3375,32.3,1.4902,22.9881
rating,206,3.733,0.4753,2.0,3.25,4.0,4.0,4.0,-1.4563,1.0322
fie,206,0.7933,0.1066,0.4723,0.7277,0.8238,0.8733,0.9392,-1.0334,0.5054
gdpg,206,1.1401,3.7479,-14.8678,0.9228,1.9631,2.9121,8.5164,-1.4885,2.8143
dum9,206,0.3835,0.4874,0.0,0.0,0.0,1.0,1.0,0.4792,-1.7704
dum12,206,0.7427,0.4382,0.0,0.0,1.0,1.0,1.0,-1.1105,-0.7668
