,bndgrn,cbmnd,cbenf,cbsys,infl,rating,fie,gdpg,dum9,dum12
bndgrn,1.0,-0.0685,-0.1271,0.015,-0.1158,0.1922,0.1872,-0.0521,0.1915,0.1484
cbmnd,-0.0685,1.0,-0.1667,-0.0866,0.0022,0.0597,-0.4083,-0.0487,-0.0954,0.0995
cbenf,-0.1271,-0.1667,1.0,0.1101,0.0491,-0.2019,0.1021,-0.0799,-0.1964,-0.2084
cbsys,0.015,-0.0866,0.1101,1.0,0.0237,0.1194,0.1706,-0.0313,-0.0131,0.0619
infl,-0.1158,0.0022,0.0491,0.0237,1.0,-0.0363,-0.0605,0.0269,-0.0878,-0.066
rating,0.1922,0.0597,-0.2019,0.1194,-0.0363,1.0,0.2888,0.1971,0.0862,0.4415
fie,0.1872,-0.4083,0.1021,0.1706,-0.0605,0.2888,1.0,0.0456,0.2874,0.2671
gdpg,-0.0521,-0.0487,-0.0799,-0.0313,0.0269,0.1971,0.0456,1.0,-0.0356,0.0065
dum9,0.1915,-0.0954,-0.1964,-0.0131,-0.0878,0.0862,0.2874,-0.0356,1.0,0.4642
dum12,0.1484,0.0995,-0.2084,0.0619,-0.066,0.4415,0.2671,0.0065,0.4642,1.0
