country,T_i,"r(bndgrn,cbmnd)",sigma_Y,sigma_X,sigma_Y/X,beta
Australia,7,,0.61134,0.0,,
Austria,6,,0.83914,0.0,,
Belgium,4,,3.0607,0.0,,
Brazil,6,,2.79008,0.0,,
Canada,7,,0.65537,0.0,,
Cayman Islands,6,,0.69672,0.0,,
Chile,4,,3.15564,0.0,,
China,7,,1.34666,0.0,,
Colombia,3,,1.42256,0.0,,
Denmark,5,,1.8624,0.0,,
Finland,5,,2.02789,0.0,,
France,9,,0.71547,0.0,,
Germany,14,,1.05094,0.0,,
Hong Kong,5,,0.77518,0.0,,
India,5,,1.17039,0.0,,
Indonesia,3,,0.35097,0.0,,
Ireland,4,,2.48136,0.0,,
Italy,8,,1.26584,0.0,,
"Korea, Rep.",6,,1.4309,0.0,,
Latvia,3,,1.72868,0.0,,
Luxembourg,6,,2.23867,0.0,,
Malaysia,4,,0.9902,0.0,,
Mauritius,4,,1.50917,0.0,,
Mexico,6,,2.4051,0.0,,
Netherlands,7,,0.43462,0.0,,
New Zealand,9,,0.57809,0.0,,
Norway,11,,1.66193,0.0,,
Peru,3,,3.57824,0.0,,
Poland,3,,0.80549,0.0,,
South Africa,5,,0.66477,0.0,,
Spain,6,,0.56805,0.0,,
Switzerland,8,,0.99044,0.0,,
Thailand,3,,1.04848,0.0,,
United Arab Emirates,5,,1.52187,0.0,,
United Kingdom,8,,1.03562,0.0,,
United States,9,,1.16501,0.0,,
