,(1) Pooled OLS,(2) + Year FE,(3) + Entity FE,(4) TWFE
cbmnd,-0.0429,-0.0872,,
se_cbmnd,(0.1266),(0.1274),,
cbenf,-0.0956,-0.1768**,,
se_cbenf,(0.0706),(0.0721),,
cbsys,-0.024,-0.203,,
se_cbsys,(0.2351),(0.2512),,
infl,-0.0328,0.011,-0.045,0.0074
se_infl,(0.0385),(0.019),(0.0378),(0.0127)
rating,0.6422,1.0931**,0.7834***,0.7713*
se_rating,(0.4117),(0.463),(0.2186),(0.4275)
fie,1.8294,-0.2073,22.3058***,7.5397**
se_fie,(1.6789),(1.9434),(4.4472),(3.6298)
gdpg,-0.0456,0.0222,-0.0159,0.0561
se_gdpg,(0.0311),(0.0589),(0.0225),(0.0346)
dum9,0.4879,0.6425,,
se_dum9,(0.5317),(0.5778),,
dum12,-0.1351,0.2743,,
se_dum12,(0.5736),(0.5719),,
N_obs,206,206,224,224
N_ids,39,39,42,42
R2,0.1007,0.4152,0.2484,0.0444
