,(2) Corp bonds +Entity FE,(3) Developed Pooled+YrFE,(5) Ex-China Pooled+YrFE,(6) Non-linear Pooled+YrFE
cbmnd,,-0.1538,0.1028,-1.2055***
se_cbmnd,,(0.1334),(0.1055),(0.3695)
cbenf,,-0.1959**,-0.1919**,-0.4953
se_cbenf,,(0.0751),(0.0718),(0.428)
cbsys,,-0.214,-0.0354,0.4885
se_cbsys,,(0.2593),(0.2351),(0.7815)
infl,-0.0456,0.0073,0.0177,0.0045
se_infl,(0.0382),(0.0186),(0.0204),(0.0205)
rating,0.7925***,1.2831***,0.6653,0.9749**
se_rating,(0.2134),(0.4623),(0.4256),(0.3984)
fie,22.6459***,-0.0004,0.0176,0.2919
se_fie,(4.478),(1.9604),(1.5801),(1.6088)
gdpg,-0.0164,-0.033,-0.0456,-0.0383
se_gdpg,(0.0232),(0.0595),(0.0564),(0.0592)
cbmndsq,,,,0.1268***
se_cbmndsq,,,,(0.0446)
cbenfsq,,,,0.038
se_cbenfsq,,,,(0.0676)
cbsyssq,,,,-0.2474
se_cbsyssq,,,,(0.3321)
N_obs,224,196,199,206
N_ids,42,36,38,39
R2,0.2453,0.4426,0.4547,0.4865
