,(1) + Risk premiums,(2) + Energy/Env,(3) + Geopolitical
cbmnd,-0.1067,-0.0872,-0.0783
se_cbmnd,(0.1205),(0.1464),(0.1483)
cbenf,-0.1438**,-0.1607*,-0.1565*
se_cbenf,(0.0646),(0.0814),(0.0779)
cbsys,-0.219,-0.2197,-0.2635
se_cbsys,(0.2546),(0.248),(0.2633)
infl,0.0201,0.0135,0.0211
se_infl,(0.0179),(0.0215),(0.0181)
rating,-0.3992,0.9876*,1.2001**
se_rating,(0.7844),(0.549),(0.4855)
fie,-1.9463,0.8303,-0.6123
se_fie,(1.9896),(2.0162),(2.1321)
gdpg,0.0421,-0.0271,0.0136
se_gdpg,(0.0577),(0.0632),(0.0659)
dum9,0.7101,1.0196,0.7435
se_dum9,(0.518),(0.6556),(0.5932)
dum12,0.2635,1.0159,0.3837
se_dum12,(0.4873),(0.6251),(0.5996)
riskeqt,-20.5421,,
se_riskeqt,(48.4419),,
riskctr,-72.277,,
se_riskctr,(61.685),,
enrgoil,,-0.029,
se_enrgoil,,(0.0216),
envtax,,-0.3705,
se_envtax,,(0.3264),
gprlog,,,0.8555**
se_gprlog,,,(0.3218)
wui,,,-0.7319
se_wui,,,(0.7777)
N_obs,206,181,196
N_ids,39,34,37
R2,0.4495,0.489,0.4155
